,userid,geometry_x,geometry_y
166,654737BF88007EB8909986013E7A8415,POINT (-1.5742 52.40151),POINT (-1.57636 52.42664)
167,8ED879677E6E75F7F1F14085319FCC6F,POINT (-1.54554 52.38741),POINT (-1.57243 52.38918)
168,53461B93FBAEBF65856635D98EAA59D3,POINT (-1.5291 52.43033),POINT (-1.46039 52.41817)
169,F67C4AE1A2454CA8914B1D21A3A630DF,POINT (-1.45242 52.4018),POINT (-1.51456 52.37141)
170,0017DD57A76C8D7247F4A17D37734F28,POINT (-1.44962 52.4221),POINT (-1.44958 52.4221)
171,C230BC5B367F0DC48BCD190E7B8A2314,POINT (-1.5098 52.41022),POINT (-1.50388 52.40552)
172,E06E64B3E74571A2DB6512C9399BCBB6,POINT (-1.46653 52.44159),POINT (-1.46386 52.44002)
173,07F46BC3B6B34BD0545C4E3EF911B236,POINT (-1.50337 52.43306),POINT (-1.46642 52.44164)
174,76EA10CDBACEB294394018BB86FF3CCA,POINT (-1.53049 52.40923),POINT (-1.54366 52.42955)
175,09AC64313E4C091E6466EF03A286A357,POINT (-1.54193 52.38254),POINT (-1.54641 52.38724)
176,9AD61408FA47922D8F9147DA9337E862,POINT (-1.45703 52.41477),POINT (-1.56189 52.42301)
177,888D08EE39F1660F91E6CDDB2864EC6B,POINT (-1.46918 52.39981),POINT (-1.46032 52.41671)
178,C6D1FEF558702446978456676FCAB08F,POINT (-1.44502 52.41427),POINT (-1.50828 52.40462)
179,AE01D33BE894BF192A5E26945690E634,POINT (-1.48899 52.45421),POINT (-1.51194 52.41995)
180,2B0F3A0785A7671AA0B77B0EC497C6A0,POINT (-1.56207 52.41351),POINT (-1.53676 52.42021)
181,C1BF4C63F0D7B656D2A60A1793465F15,POINT (-1.52256 52.40472),POINT (-1.56432 52.41332)
182,1EAB23692E23239B84AD6CF5FE9BE401,POINT (-1.50534 52.37888),POINT (-1.53663 52.40819)
183,D50A60C293C8BE16C496B176BD5319F1,POINT (-1.50085 52.41226),POINT (-1.49904 52.40577)
184,D39064964D771200E9E1BCBA593F2E31,POINT (-1.47682 52.39592),POINT (-1.48679 52.38644)
185,5FE900A211082A0674110E5C890C9844,POINT (-1.55819 52.40947),POINT (-1.55449 52.39978)
186,CBED256E0DE337C1080FB49FDDA7ED51,POINT (-1.5693 52.4293),POINT (-1.4938 52.40742)
187,8AD1F34607350208968165E2A60A0E14,POINT (-1.46713 52.4154),POINT (-1.51305 52.40236)
188,919775C3D3114F8C5D2BDA24B866F3D3,POINT (-1.46433 52.38367),POINT (-1.4518 52.41351)
189,A857B7B3A455D34BC1DAD52DE00088FC,POINT (-1.59667 52.41548),POINT (-1.58986 52.4182)
190,B59584A497EF244CFFB6C49CA4E3B6A7,POINT (-1.44461 52.42073),POINT (-1.45029 52.391)
191,8BCB73284772622BA47903E5BF75B410,POINT (-1.5392 52.43214),POINT (-1.51446 52.38471)
192,F5031FED58C2E7A76C3F658173D80976,POINT (-1.45027 52.39099),POINT (-1.4446 52.42072)
193,D266419E1310FE1B1DFF802C762832C9,POINT (-1.60218 52.40901),POINT (-1.49462 52.43321)
194,0640CB7FF81DC08B0946CAFEA5750687,POINT (-1.56168 52.40536),POINT (-1.57069 52.3901)
195,2D3C21B3D0F7CE06F98A4623CC80CAF6,POINT (-1.5659 52.42504),POINT (-1.50901 52.44474)
196,D6F10623F9C34654079890F8F9EC83FC,POINT (-1.59568 52.41866),POINT (-1.57088 52.41196)
197,27AECDEC9145AF5E256F11B24BBC6F1D,POINT (-1.49215 52.4391),POINT (-1.57912 52.41076)
198,6068C206FE3D26768345FF87F83800EA,POINT (-1.50896 52.40728),POINT (-1.53112 52.45525)
199,CC6CA9F3D13AEA25EB97BC759A955A4C,POINT (-1.46782 52.41859),POINT (-1.47867 52.42391)
200,7F0A96DDB3E9D3C9AEDB9BDABD3406DE,POINT (-1.48252 52.45234),POINT (-1.53526 52.44285)
201,93812FAE56B2BFA5AF8B73578462FFD4,POINT (-1.5472 52.41166),POINT (-1.50147 52.38816)
202,4A31DE017D8AC27222FA6A320E5A36C8,POINT (-1.49899 52.43057),POINT (-1.49916 52.42864)
203,EE4A0725F0D913559E917482BB98553B,POINT (-1.5282 52.38617),POINT (-1.52681 52.3791)
204,4E89C7B9E6113C19356892C724F1D1FE,POINT (-1.51923 52.37945),POINT (-1.52125 52.37776)
205,B91F9C06769EB9AC4AF906AD8DD71D52,POINT (-1.52572 52.38102),POINT (-1.43747 52.4208)
206,BF02B5DF713CBE9FE8D95D609C582C17,POINT (-1.49343 52.41474),POINT (-1.49179 52.39988)
207,D1484F47F4BC885F670376E86CAB6822,POINT (-1.53007 52.43644),POINT (-1.54611 52.41296)
208,EE2CFEEC222E89FB9E716C593E1DAEDA,POINT (-1.48064 52.44434),POINT (-1.45157 52.41337)
209,6C32471C99C2054C3E370476E290E4CE,POINT (-1.50911 52.3919),POINT (-1.4999 52.40568)
210,24545DA8701069ADDDB1237674CEC745,POINT (-1.46147 52.41018),POINT (-1.46203 52.41079)
211,EDFC80CBB026ADA29B37A0A195FC129E,POINT (-1.46986 52.41849),POINT (-1.44183 52.39578)
212,FE59EB4718AA8B4F0EEBDC5AF1DDE217,POINT (-1.516 52.42244),POINT (-1.54343 52.42984)
213,FABA07A9B0527A7EE14ABDCB486D270F,POINT (-1.55923 52.43927),POINT (-1.56533 52.38923)
214,8D1325E0EF7C30498DC656E1DAEADA33,POINT (-1.47619 52.43805),POINT (-1.48273 52.4383)
215,8BC26C0CA941B34458DCFFE6F780556F,POINT (-1.52232 52.42064),POINT (-1.52333 52.42096)
216,6D9FF26FAC3FCA64A1400F7BEDE50E1E,POINT (-1.567 52.40261),POINT (-1.51261 52.43407)
217,A60285C1C72C6DDA62B7B15B122845C0,POINT (-1.46084 52.43352),POINT (-1.47056 52.42407)
218,267191760272450CC289326F21E8BD5F,POINT (-1.48758 52.4248),POINT (-1.47252 52.42192)
219,1F38482E13D7F41EA65A0AC462640122,POINT (-1.52008 52.42504),POINT (-1.43673 52.42101)
220,610A4E5CF28BE9BCCA6F4DD49283269F,POINT (-1.50265 52.39222),POINT (-1.58987 52.40394)
221,A62ACA611319C439A04BBFA7A65FE4D3,POINT (-1.48359 52.4325),POINT (-1.48923 52.43503)
222,E8548BBAD78A8E20B80487D3ACBFA157,POINT (-1.45029 52.38521),POINT (-1.49913 52.42854)
223,DFB8CD6F288371C816B397E9E6A65545,POINT (-1.51191 52.4296),POINT (-1.50778 52.41346)
224,D1E9B47B3D6B19D270E3C736EBE85FD7,POINT (-1.46205 52.43068),POINT (-1.45991 52.43344)
225,F9D8FAA977987ABF96FA7D3935B9AD3F,POINT (-1.54336 52.4184),POINT (-1.52913 52.41424)
226,74C4B6A2B29C1B47A80F5B1B46F0EC68,POINT (-1.46178 52.43171),POINT (-1.48936 52.41025)
