from_cell,to_cell,trips,distance,origin,business,eatery,education,leisure,financial,historical,industrial,medical,other,public,religious,residential,shopping,transport
"(5, 5)","(1, 2)",1,5.0,75.0,0.9342327751034447,0.08189707507593547,1.6698406149354221,1.6178080594219808,0.5664950864538365,0.6441713199996355,0.7839718015755157,0.2956657603079738,2.3316481349391744,4.126489440537666,0.07700238396137582,0.8045417722271466,0.2698349257763807,1.4447470550934898
"(2, 3)","(3, 3)",5,1.0,37.0,195.50027458794554,30.51701592492654,231.3911976249752,151.85910348346917,183.88906990661692,132.40970578265984,86.26782772037434,155.36706774076166,228.8819773747422,275.39014450785544,26.643776998221178,191.2879711860148,110.27794598716056,198.97126673160167
"(2, 2)","(5, 5)",1,4.242640687119285,40.0,16.446128298791947,1.4639251616332463,27.163801367097992,23.36037660028574,25.00391401021577,23.007579243651495,40.19667267923247,33.238783257447125,21.668844009642665,15.718381604955667,2.542847148055723,31.225711096864526,18.82241664004362,31.214847351639655
"(2, 3)","(3, 5)",1,2.23606797749979,37.0,173.37735300798153,10.40775510777436,158.09393269975172,140.98950893727817,126.70869048436762,147.02577426029103,342.33072559908913,151.91124668556859,124.20244802291029,127.74181305308903,13.376568767404832,198.33061288102323,135.7333106093338,173.94618589771218
"(3, 4)","(7, 4)",2,4.0,65.0,0.010974066786306925,0.0011110860575598298,0.026971641398340702,0.011255833365905916,1.777073444321068e-12,0.009391759482512346,0.011501593126807153,0.02208687508318692,0.013332497752322092,0.007999206577071575,0.0019322021763550094,0.01799168002848074,0.012131836597027304,0.015419581773508441
"(1, 3)","(2, 2)",5,1.4142135623730951,29.0,16.993961470732494,1.3715666684789725,24.992387470144173,22.513281047316056,11.338460276807785,13.785182082493419,19.751529489079658,10.895313251264792,26.376408257023943,37.679133893101884,1.0297666049222085,18.772518249944945,8.81821760615341,26.149662894751977
"(6, 3)","(7, 2)",3,1.4142135623730951,5.0,0.0012767091383704854,6.913292678725918e-05,0.0009086429149187395,0.0031992378468405584,1.777073444321068e-12,0.002933274957884134,0.0018815548827028337,0.0009176997468086462,0.003167764325585239,0.0014846033391545932,0.00011396296310560821,0.0015634208690142879,3.600517068132535e-05,0.0015878418843046393
"(3, 4)","(3, 2)",2,2.0,65.0,74.71359961549373,5.424473426269259,96.56469657019308,84.53662892270196,48.31504000203282,64.33132055085288,93.18525070778789,51.80541243803996,85.03235409863588,93.6491576925216,4.010044319775014,88.0968466010804,41.1460591655364,116.33105477269214
"(3, 5)","(3, 4)",8,1.0,110.0,389.1025234277569,43.67984133826393,294.19555657303414,458.474825054336,433.18716638321433,482.1752582160346,149.22320235285648,307.76457826824344,416.7951692941318,396.0103095434674,45.61299231527612,240.57013599752045,473.9755311089889,306.6981918656148
"(4, 5)","(4, 6)",1,1.0,103.0,40.51118105408279,0.44449295096113184,52.92210319361099,45.524721852870485,70.81913440307733,46.440446083208286,118.728531725258,76.18119759290067,35.42647136931116,37.14224703227149,0.925103857674736,74.36125098133896,31.77661684621533,67.11780529150495
