,userid,geometry_x,geometry_y
151,2FB8DEBDA251B9EA26D036A24E444B0D,POINT (-1.78708 52.56011),POINT (-1.79187 52.55502)
152,D5116E728EBB28059E313E7FF4348831,POINT (-1.89297 52.54247),POINT (-1.89369 52.4809)
153,C5211917154BB6C21E9C30D7BBC6AF5A,POINT (-1.86876 52.45475),POINT (-1.86001 52.43771)
154,4028ECCF9DCEE2B96D826A7B0FFE4964,POINT (-1.79953 52.55056),POINT (-1.82237 52.56046)
155,5D60DC4F1A2FEE4F66852C353C126A15,POINT (-1.94797 52.48611),POINT (-1.91384 52.49467)
156,98D89FAF38BA82D810D03BD4CFBDD4DB,POINT (-1.93823 52.50293),POINT (-1.93455 52.50199)
157,2EE7D67D1906D349939AF42E0B051070,POINT (-2.00433 52.38992),POINT (-2.00827 52.4003)
158,D79655193121FB4DECB94C031BA5824E,POINT (-1.91695 52.50707),POINT (-1.88647 52.48552)
159,6EF724E8599578418550FCB08CAAED01,POINT (-1.82812 52.51572),POINT (-1.85276 52.5198)
160,FF7E3EFA045FF2AAA15FBB4FB9052765,POINT (-1.78695 52.5644),POINT (-1.78838 52.52944)
161,9ABFF24CEA511F16104C27DE82D423D1,POINT (-1.96667 52.43641),POINT (-1.98485 52.39617)
162,2BC0B10AD45F28254BACC4BF98F228CE,POINT (-1.78825 52.48897),POINT (-1.84583 52.4333)
163,F34ECFDBA7A1CC2560DF2586F983D8AF,POINT (-1.95062 52.4805),POINT (-1.92954 52.47845)
164,112D2FF8E05BF730B2B99D3E39C0F935,POINT (-1.87288 52.46229),POINT (-1.86433 52.46758)
165,31FA8C6975F8CE4831002342F4962947,POINT (-1.95777 52.39168),POINT (-1.95948 52.4204)
166,319DFF9621889E4DE37BB1F5BB1724CC,POINT (-1.94242 52.43068),POINT (-1.93507 52.42096)
167,258A4EAA9709584BD632EA5834AEB625,POINT (-1.82408 52.51463),POINT (-1.77282 52.53145)
168,B738761A8A2F34B4311A917F5D05960B,POINT (-1.93665 52.4854),POINT (-1.82889 52.50242)
169,3BBFC545B43FA85EC652EEC14DF1EA7C,POINT (-1.81669 52.5189),POINT (-1.88841 52.40935)
170,E5E8BAFD3EF9448BBE43BF4E71B2F0B3,POINT (-1.81545 52.52081),POINT (-1.79534 52.5607)
171,81264294BD177591EFE4DDDA1B7ECC20,POINT (-1.90875 52.41835),POINT (-1.89359 52.47734)
172,F8D0C52FEF3FB6BF89F4B2A795B1CC7E,POINT (-1.99769 52.45681),POINT (-1.99042 52.45628)
173,937874ADAE6BA7E3BF25F1FE61C3D01E,POINT (-1.86848 52.45394),POINT (-1.83063 52.48622)
174,B9C72DAAA8D1DE55CDC31828ACFAB622,POINT (-1.79696 52.54831),POINT (-1.84183 52.46932)
